date,matchup,game_id,result,p1_name,p1_pts,p1_reb,p1_ast,p2_name,p2_pts,p2_reb,p2_ast,p3_name,p3_pts,p3_reb,p3_ast,p4_name,p4_pts,p4_reb,p4_ast,p5_name,p5_pts,p5_reb,p5_ast,p6_name,p6_pts,p6_reb,p6_ast,op1_name,op1_pts,op1_reb,op1_ast,op2_name,op2_pts,op2_reb,op2_ast,op3_name,op3_pts,op3_reb,op3_ast,op4_name,op4_pts,op4_reb,op4_ast,op5_name,op5_pts,op5_reb,op5_ast,op6_name,op6_pts,op6_reb,op6_ast
2016-04-06,LAL vs. LAC,21501172,L,Kobe Bryant,17.0,3.0,1.0,Julius Randle,7.0,20.0,1.0,Roy Hibbert,4.0,2.0,0.0,Jordan Clarkson,13.0,2.0,2.0,D'Angelo Russell,13.0,2.0,3.0,Marcelo Huertas,6.0,2.0,5.0,Luc Mbah a Moute,4.0,1.0,0.0,Blake Griffin,13.0,8.0,3.0,DeAndre Jordan,15.0,11.0,0.0,JJ Redick,15.0,3.0,2.0,Chris Paul,13.0,5.0,8.0,Jeff Green,3.0,2.0,2.0
2016-04-05,LAL @ LAC,21501164,L,Kobe Bryant,6.0,2.0,0.0,Julius Randle,4.0,12.0,4.0,Roy Hibbert,0.0,4.0,0.0,Jordan Clarkson,10.0,1.0,1.0,D'Angelo Russell,12.0,3.0,1.0,Marcelo Huertas,9.0,3.0,4.0,Luc Mbah a Moute,4.0,3.0,1.0,Blake Griffin,4.0,3.0,3.0,DeAndre Jordan,7.0,14.0,3.0,JJ Redick,9.0,3.0,2.0,Chris Paul,25.0,4.0,8.0,Wesley Johnson,6.0,2.0,1.0
2016-04-03,LAL vs. BOS,21501153,L,Kobe Bryant,34.0,4.0,1.0,Julius Randle,20.0,10.0,2.0,Roy Hibbert,4.0,5.0,4.0,Jordan Clarkson,17.0,5.0,1.0,D'Angelo Russell,8.0,9.0,6.0,Marcelo Huertas,6.0,3.0,5.0,Jae Crowder,22.0,5.0,4.0,Amir Johnson,10.0,13.0,4.0,Jared Sullinger,6.0,2.0,0.0,Evan Turner,17.0,4.0,4.0,Isaiah Thomas,26.0,2.0,6.0,Marcus Smart,7.0,5.0,6.0
2016-03-30,LAL vs. MIA,21501121,W,Kobe Bryant,2.0,2.0,0.0,Julius Randle,13.0,14.0,3.0,Roy Hibbert,12.0,9.0,1.0,Jordan Clarkson,26.0,6.0,1.0,D'Angelo Russell,16.0,4.0,1.0,Brandon Bass,8.0,3.0,0.0,Joe Johnson,10.0,4.0,5.0,Luol Deng,22.0,11.0,2.0,Amar'e Stoudemire,4.0,3.0,0.0,Dwyane Wade,26.0,10.0,5.0,Goran Dragic,11.0,3.0,9.0,Justise Winslow,6.0,4.0,2.0
2016-03-28,LAL @ UTA,21501104,L,Kobe Bryant,5.0,0.0,2.0,Julius Randle,2.0,1.0,0.0,Roy Hibbert,8.0,6.0,0.0,Jordan Clarkson,12.0,8.0,2.0,D'Angelo Russell,5.0,2.0,1.0,Lou Williams,16.0,1.0,1.0,Gordon Hayward,11.0,3.0,6.0,Derrick Favors,14.0,9.0,1.0,Rudy Gobert,8.0,19.0,4.0,Rodney Hood,30.0,3.0,0.0,Shelvin Mack,17.0,3.0,5.0,Trevor Booker,17.0,5.0,0.0
2016-03-27,LAL vs. WAS,21501096,L,Kobe Bryant,17.0,1.0,2.0,Julius Randle,14.0,7.0,1.0,Roy Hibbert,2.0,5.0,0.0,Jordan Clarkson,2.0,5.0,3.0,D'Angelo Russell,22.0,3.0,2.0,Lou Williams,11.0,1.0,0.0,Otto Porter Jr.,14.0,6.0,0.0,Nene,10.0,3.0,2.0,Marcin Gortat,16.0,10.0,0.0,Bradley Beal,4.0,6.0,3.0,John Wall,22.0,5.0,13.0,Garrett Temple,4.0,0.0,0.0
2016-03-25,LAL vs. DEN,21501081,L,Kobe Bryant,28.0,4.0,0.0,Julius Randle,13.0,18.0,10.0,Roy Hibbert,5.0,5.0,1.0,Jordan Clarkson,20.0,4.0,1.0,D'Angelo Russell,2.0,1.0,0.0,Lou Williams,14.0,1.0,3.0,JaKarr Sampson,11.0,3.0,1.0,Darrell Arthur,4.0,3.0,3.0,Nikola Jokic,8.0,12.0,4.0,Gary Harris,13.0,3.0,2.0,Emmanuel Mudiay,9.0,3.0,3.0,Jusuf Nurkic,18.0,4.0,5.0
2016-03-23,LAL @ PHX,21501065,L,Kobe Bryant,17.0,3.0,2.0,Julius Randle,19.0,15.0,1.0,Roy Hibbert,3.0,5.0,0.0,Jordan Clarkson,13.0,2.0,2.0,D'Angelo Russell,14.0,3.0,3.0,Lou Williams,11.0,2.0,5.0,P.J. Tucker,6.0,13.0,6.0,Jon Leuer,22.0,14.0,0.0,Alex Len,10.0,8.0,4.0,Devin Booker,28.0,3.0,7.0,Brandon Knight,25.0,8.0,7.0,Mirza Teletovic,17.0,1.0,3.0
2016-03-22,LAL vs. MEM,21501055,W,Kobe Bryant,20.0,2.0,1.0,Julius Randle,13.0,14.0,5.0,Roy Hibbert,4.0,4.0,1.0,Jordan Clarkson,22.0,5.0,1.0,D'Angelo Russell,11.0,2.0,0.0,Brandon Bass,18.0,6.0,1.0,Matt Barnes,9.0,0.0,3.0,Zach Randolph,16.0,6.0,5.0,Chris Andersen,8.0,3.0,0.0,Tony Allen,27.0,4.0,5.0,Ray McCallum,0.0,0.0,3.0,Ryan Hollins,0.0,2.0,0.0
2016-03-18,LAL vs. PHX,21501027,L,Metta World Peace,6.0,3.0,1.0,Julius Randle,2.0,9.0,0.0,Roy Hibbert,6.0,8.0,0.0,Jordan Clarkson,8.0,1.0,2.0,D'Angelo Russell,9.0,3.0,4.0,Larry Nance Jr.,6.0,5.0,0.0,P.J. Tucker,13.0,6.0,0.0,Alex Len,2.0,7.0,1.0,Tyson Chandler,12.0,17.0,1.0,Devin Booker,21.0,5.0,7.0,Brandon Knight,22.0,6.0,3.0,Mirza Teletovic,5.0,7.0,3.0
